调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-ZEREBRO-USDT-loong_kc_byfutures_mode_2,ZEREBRO-USDT-FTR,1.1755358179E+02,0E+00,1.1755358179E+02,0E+00,0E+00,5E-05 | 0E+00,1.4388478632E+00,0E+00,-6.9853412235E+04,-2.8776957263999997E+04,0E+00,0E+00,0E+00,0E+00,0E+00,1.6828609802843656E-03,0E+00,0E+00,5.141433541284682E-03,asset04,precursor007,-3.205989E+06,2026-01-06 08:40:00,0E+00,prod-strategy-sgap4,2026-01-12 10:26:19,0E+00,3.6842692865914906E-03|kucoin_spot,0E+00,1.8035504181570852E+00,0E+00,0E+00,0E+00,2.105379999999999E-03 | 0E+00
fr-ZEREBRO-USDT-loong_kc_byfutures_mode_1,ZEREBRO-USDT-FTR,1.1755358179E+02,0E+00,1.1755358179E+02,0E+00,0E+00,5E-05 | 0E+00,1.4388478632E+00,0E+00,-6.9853412235E+04,-2.8776957263999997E+04,0E+00,0E+00,0E+00,0E+00,0E+00,1.6828609802843656E-03,0E+00,0E+00,5.141433541284682E-03,asset04,precursor007,-3.205989E+06,2025-12-01 16:09:07,0E+00,prod-strategy-sgap4,2026-01-06 00:10:54,0E+00,3.6842692865914906E-03|kucoin_spot,0E+00,1.7166733648743728E+00,0E+00,0E+00,0E+00,2.105379999999999E-03 | 0E+00
fr-S-USDT-loong_kc_byfutures_mode_1,S-USDT-FTR,1.0840169115790022E+02,1.2652902581790022E+02,-1.812733466E+01,8.90809039362648E+00,-2.0091716626752168E+02,-5.442E-05 | 0E+00,-7.210314685727999E-01,8.930706995624304E+04,-4.263701554E+04,-1.3249383839999999E+04,2.0945900838781606E+00,-7.742757640457153E+00,0E+00,1.2138086179628645E-03,1.416786217260229E-03,-4.251548667376544E-04,-2.249734162882773E-03,9.97467546297409E-05,3.138220092386475E-03,asset04,precursor007,-2.60712E+05,2026-01-03 14:59:44,1E+02,prod-strategy-sgap4,2026-01-22 17:17:56,9.424938231704363E+01,3.7394213737451665E-03|kucoin_spot,6.3125E-01,1.2471969450281308E+00,1.01E+02,0E+00,1.01E+02,-5.207599999999995E-04 | 0E+00
fr-GIGGLE-USDT-loong_kc_byfutures_mode_2,GIGGLE-USDT-FTR,1.0623448741166287E+02,-8.599723768337139E+00,1.1483421118000001E+02,1.3686021896297461E+01,-2.6028836054215225E+02,5E-05 | 0E+00,3.0293629650000002E+00,9.693559478713572E+04,-6.39380595E+04,-6.05872593E+04,1.516085967343687E+00,4.703615065928548E+00,0E+00,1.0959285662294322E-03,-8.871585084118557E-05,1.7960227770128056E-03,-2.6851680346494868E-03,1.41186753187527E-04,4.706044746562061E-03,asset04,precursor007,-1.650879E+03,2026-01-03 04:23:57,1.45E+02,prod-strategy-sgap4,2026-01-22 17:17:42,2.8510013124671815E+01,4.362050163577047E-03|kucoin_spot,4.519230769230769E-01,1.6425098707110146E+00,6.8E+01,0E+00,1.41E+02,1.9290499999999986E-03 | 0E+00
fr-NOT-USDT-loong_kc_byfutures_mode_1,NOT-USDT-FTR,9.748657933774213E+01,8.971352116774213E+01,7.77305817E+00,1.1023980271949767E+01,-1.0552257954771629E+02,-1.0679E-04 | 0E+00,-2.0495940373392002E-01,6.59888023875691E+04,-9.02887131E+03,-1.9192752480000001E+03,7.308643585880182E+00,-1.42857097E+02,0E+00,1.477320027194592E-03,1.3595264336035634E-03,8.609113922568467E-04,-1.5990982671265227E-03,1.6705834737237865E-04,6.645536747296875E-04,asset04,precursor007,-4.27646E+06,2026-01-03 08:07:55,1.06E+02,prod-strategy-sgap4,2026-01-22 17:17:52,2.097489464353945E+01,3.0864197530864335E-03|kucoin_spot,5.21311475409836E-01,1.3541065494746896E+00,0E+00,0E+00,1.59E+02,1.5304199999999994E-03 | 0E+00
fr-SPX-USDT-loong_kc_byfutures_mode_6,SPX-USDT-FTR,9.344620328161298E+01,2.989396602161299E+01,6.355223726E+01,8.664040346650381E+00,-1.7199984289356502E+02,2.318E-05 | 0E+00,3.24483690848E-01,7.244520925730467E+04,-4.05093056E+04,-1.3998433599999998E+04,1.7883596912928734E+00,-1.4258663637404146E+01,0E+00,1.2898879613932619E-03,4.126424138749903E-04,1.568830576547824E-03,-2.374205895143056E-03,1.1959438637105992E-04,2.9816138665540366E-03,asset04,precursor007,-4.7356E+04,2026-01-03 11:56:52,8.9E+01,prod-strategy-sgap4,2026-01-22 17:17:44,2.428959365598297E+01,2.3640661938535423E-03|kucoin_spot,5.972222222222222E-01,1.5976464493709168E+00,7.6E+01,0E+00,1.29E+02,1.663749999999999E-03 | 0E+00
fr-KGEN-USDT-loong_kc_byfutures_mode_2,KGEN-USDT-FTR,4.136920863E+01,0E+00,4.136920863E+01,0E+00,0E+00,5E-05 | 0E+00,1.986105636E+00,0E+00,-3.962161116E+04,-3.972211272E+04,0E+00,0E+00,0E+00,0E+00,0E+00,1.0441071783513006E-03,0E+00,0E+00,2.9162767295094825E-03,asset04,precursor007,-1.79852E+05,2025-12-15 16:08:50,0E+00,prod-strategy-sgap4,2026-01-21 10:09:16,0E+00,2.3137646311586213E-03|kucoin_spot,0E+00,1.2829065368867503E+00,0E+00,0E+00,0E+00,1.1874600000000002E-03 | 0E+00
fr-OP-USDT-loong_kc_byfutures_mode_0,OP-USDT-FTR,3.365513848677846E+01,1.8621560896778462E+01,1.503357759E+01,9.589626951521495E+00,-3.654826033674203E+01,-2.7616E-04 | 0E+00,-8.7874012692864E+00,3.018307489722967E+04,-3.398716486E+04,-3.181996404E+04,8.880727480965199E-01,4.36495628347397E+00,0E+00,1.1150334616791303E-03,6.169537384836701E-04,4.4233102854934634E-04,-1.210885917395268E-03,3.177153747314748E-04,2.50156354275878E-03,asset04,precursor007,-1.373919E+05,2026-01-03 09:13:13,7.7E+01,prod-strategy-sgap4,2026-01-22 17:17:55,-6.230502341282069E+00,1.7241379310344307E-03|kucoin_spot,5.192307692307693E-01,1.3609190501267208E+00,3.5E+01,0E+00,2.7E+01,6.846200000000002E-04 | 0E+00
fr-TIA-USDT-loong_kc_byfutures_mode_1,TIA-USDT-FTR,2.7911406028743084E+01,-6.75110619125692E+00,3.466251222E+01,1.0778816100209951E+00,-1.5968580044806004E+01,5E-05 | 0E+00,3.9303676070000004E+00,7.719211427688599E+03,-9.212529323999998E+04,-7.860735214E+04,8.37903593704599E-02,1.657721244812012E-01,0E+00,3.6158364478301036E-03,-8.745849565722333E-04,3.76254023199677E-04,-2.0686802265225106E-03,1.3963623358658936E-04,6.780714892944025E-03,asset04,precursor007,-2.143642E+05,2026-01-03 14:02:41,1.3E+02,prod-strategy-sgap4,2026-01-22 17:17:43,-3.3126841911780183E+00,1.6313213703098572E-03|kucoin_spot,1.6E-01,1.305141419966093E+00,5.5E+01,0E+00,4E+00,4.492100000000001E-04 | 0E+00
fr-MET-USDT-loong_kc_byfutures_mode_9,MET-USDT-FTR,2.5008231520000002E+01,0E+00,2.5008231520000002E+01,0E+00,0E+00,5E-05 | 0E+00,6.7741532103E+00,0E+00,-1.36855898415E+05,-1.3548306420599998E+05,0E+00,0E+00,0E+00,0E+00,0E+00,1.8273404222714153E-04,0E+00,0E+00,1.0073029848081982E-02,asset04,precursor007,-5.624738E+05,2025-12-15 16:06:57,0E+00,prod-strategy-sgap4,2025-12-31 12:48:34,0E+00,1.0064581061812738E-03|kucoin_spot,0E+00,1.4206290313455936E+00,0E+00,0E+00,0E+00,3.461000000000003E-04 | 0E+00
