调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-XLM-USDT-loong_by_byfutures_pm_mode_0,XLM-USDT-FTR,-1.20434158E+00,0E+00,-1.20434158E+00,0E+00,0E+00,5.886E-05 | 0E+00,9.92839379004E-02,0E+00,-2.0225888100000002E+03,-1.6867811399999998E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-5.954455863918281E-04,0E+00,0E+00,1.2015468908750258E-04,asset06,asset06,-9.559E+03,2025-12-15 15:10:04,0E+00,prod-strategy-sgap3,2026-01-10 10:03:22,0E+00,1.3011257566328815E-03|bybit_spot,0E+00,1.0563825264493447E+00,0E+00,0E+00,0E+00,-7.062699999999999E-04 | 0E+00
fr-XLM-USDT-loong_by_byfutures_pm_mode_1,XLM-USDT-FTR,-1.2043415800000001E+00,0E+00,-1.2043415800000001E+00,0E+00,0E+00,5.886E-05 | 0E+00,9.92839379004E-02,0E+00,-2.0225888100000002E+03,-1.6867811399999998E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-5.954455863918282E-04,0E+00,0E+00,1.2015468908750258E-04,asset06,asset06,-9.559E+03,2026-01-10 12:05:53,0E+00,prod-strategy-sgap3,2026-01-21 21:45:48,0E+00,1.3011257566328815E-03|bybit_spot,0E+00,1.0563825264493447E+00,0E+00,0E+00,0E+00,-7.062699999999999E-04 | 0E+00
fr-DYDX-USDT-loong_by_byfutures_pm_mode_16,DYDX-USDT-FTR,-1.5550118499999999E+00,0E+00,-1.5550118499999999E+00,0E+00,0E+00,1E-04 | 0E+00,1.285335686E-01,0E+00,-1.699196226E+03,-1.2853356860000001E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-9.151455412895908E-04,0E+00,0E+00,1.0094310480917165E-04,asset06,asset06,-9.692599999999999E+03,2026-01-02 22:39:30,0E+00,prod-strategy-sgap3,2026-01-13 06:30:15,0E+00,1.052948255114261E-03|bybit_spot,0E+00,1.2313836201042754E+00,0E+00,0E+00,0E+00,-9.715299999999996E-04 | 0E+00
fr-GALA-USDT-loong_by_byfutures_pm_mode_4,GALA-USDT-FTR,-1.5766458599999997E+00,0E+00,-1.5766458599999997E+00,0E+00,0E+00,1.408E-05 | 0E+00,6.209892690073601E-01,0E+00,-3.8520121327999994E+04,-4.4104351492E+04,0E+00,0E+00,0E+00,0E+00,0E+00,-4.093044896133147E-05,0E+00,0E+00,2.2883411491724393E-03,asset06,asset06,-9.230714E+06,2026-01-02 22:05:10,0E+00,prod-strategy-sgap3,2026-01-22 05:32:41,0E+00,2.511511092507357E-03|bybit_spot,0E+00,1.3092031293253457E+00,0E+00,0E+00,0E+00,3.853999999999998E-05 | 0E+00
fr-EIGEN-USDT-loong_by_byfutures_pm_mode_3,EIGEN-USDT-FTR,-2.13530625E+00,0E+00,-2.13530625E+00,0E+00,0E+00,-9.066E-05 | 0E+00,-1.0715576832E-01,0E+00,-1.8159118E+03,-1.181952E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-1.1758865436085608E-03,0E+00,0E+00,1.0787675510739485E-04,asset06,asset06,-4.617E+03,2025-12-17 12:28:38,0E+00,prod-strategy-sgap3,2026-01-10 10:03:23,0E+00,7.803355442841386E-04|bybit_spot,0E+00,1.7004430530399863E+00,0E+00,0E+00,0E+00,-1.1294999999999996E-03 | 0E+00
fr-EIGEN-USDT-loong_by_byfutures_pm_mode_4,EIGEN-USDT-FTR,-2.13530625E+00,0E+00,-2.13530625E+00,0E+00,0E+00,-9.066E-05 | 0E+00,-1.0715576832E-01,0E+00,-1.8159118E+03,-1.181952E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-1.1758865436085608E-03,0E+00,0E+00,1.0787675510739485E-04,asset06,asset06,-4.617E+03,2026-01-10 08:57:43,0E+00,prod-strategy-sgap3,2026-01-20 16:50:17,0E+00,7.803355442841386E-04|bybit_spot,0E+00,1.7004430530399863E+00,0E+00,0E+00,0E+00,-1.1294999999999996E-03 | 0E+00
fr-ALGO-USDT-loong_by_byfutures_pm_mode_0,ALGO-USDT-FTR,-3.5612739775180158E+00,-3.277796887518016E+00,-2.8347709000000004E-01,8.30567599623464E-01,-6.256602965295315E+00,1E-04 | 0E+00,3.4380457019999994E-01,3.078738494873047E+03,-4.0496225249999998E+03,-3.4380457019999994E+03,7.602532028273542E-01,3.2858349609375004E-02,0E+00,-1.156731558542086E-03,-1.0646558299694684E-03,-7.000086754999469E-05,-2.0321969455068343E-03,2.6977529952822865E-04,2.4057343391172133E-04,asset06,asset06,-3.3604200000000004E+04,2026-01-30 13:30:01,9E+01,prod-strategy-sgap3,2026-01-31 03:21:40,-2.5908211329952198E+00,2.2489488608583574E-03|bybit_spot,1.25E-01,1.1324356167619911E+00,2.09E+02,0E+00,1E+00,6.595300000000001E-04 | 0E+00
fr-MON-USDT-loong_by_byfutures_pm_mode_5,MON-USDT-FTR,-3.7092199299999997E+00,0E+00,-3.7092199299999997E+00,0E+00,0E+00,1E-04 | 0E+00,1.5119417100000002E-01,0E+00,-1.817768189E+03,-1.51194171E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-2.0405351751922422E-03,0E+00,0E+00,1.0798703646662003E-04,asset06,asset06,-8.3857E+04,2026-01-03 15:37:37,0E+00,prod-strategy-sgap3,2026-01-10 12:09:52,0E+00,1.1739057521382712E-03|bybit_spot,0E+00,1.6388503271157795E+00,0E+00,0E+00,0E+00,-2.2712200000000004E-03 | 0E+00
fr-GRASS-USDT-loong_by_byfutures_pm_mode_0,GRASS-USDT-FTR,-4.471123390000008E+00,0E+00,-4.471123390000008E+00,0E+00,0E+00,-8.388E-05 | 0E+00,-2.00694290904E-01,0E+00,-6.10349299E+04,-2.3926358E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-7.325515728985883E-05,0E+00,0E+00,3.625864530325378E-03,asset06,asset06,-1.1191E+04,2025-12-11 16:09:36,0E+00,prod-strategy-sgap3,2026-01-10 10:03:24,0E+00,2.345215759849806E-03|bybit_spot,0E+00,1.4596184701142307E+00,0E+00,0E+00,0E+00,7.394000000000034E-05 | 0E+00
fr-CC-USDT-loong_by_byfutures_pm_mode_0,CC-USDT-FTR,-4.492471419999999E+00,0E+00,-4.492471419999999E+00,0E+00,0E+00,-5.809E-05 | 0E+00,-1.1596213926400001E-01,0E+00,-1.264841648E+04,-1.9962496E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-3.55180541936108E-04,0E+00,0E+00,7.513966961992852E-04,asset06,asset06,-1.0624E+04,2026-01-02 20:46:07,0E+00,prod-strategy-sgap3,2026-01-30 17:22:01,0E+00,1.7023993190403708E-03|bybit_spot,0E+00,1.5467405337515396E+00,0E+00,0E+00,0E+00,4.351000000000021E-05 | 0E+00
